snippet,intent
"doctest.run_docstring_examples(f, globs, name=""NoName"", optionflags=0)","Test examples associated with object `f` ; for example , f may be a string , a module , a function , or a class object . A shallow copy of dictionary argument `globs` is used for the execution context . Optional argument `name` is used in failure messages , and defaults to `` NoName '' . Optional argument `optionflags` works as for function testfile ( ) above ."
@dataclasses.dataclass(init=True),"This function is a decorator that is used to add generated special methods to classes , as described below . With arguments `init`."
Match.group(group1),"Returns one or more subgroups of the match . Without arguments , `group1` defaults to zero ( the whole match is returned ) ."
"os.getgrouplist(user, group)",Return list of `group` ids that `user` belongs to .
"argparse.FileType(mode='r', bufsize=-1)","The FileType factory creates objects that can be passed to the type argument of ArgumentParser.add_argument ( ) . With arguments `mode`, `bufsize`."
IMAP4.send(data),Sends `data` to the remote server .
"deque.index(x, start)",Return the position of `x` in the deque ( at or after index `start` and before index `stop` ) .
IMAP4.create(mailbox),Create new `mailbox` named mailbox .
ensurepip.bootstrap(verbosity=0),Bootstraps pip into the current or designated environment . `verbosity` controls the level of output to sys.stdout from the bootstrapping operation .
"dis.stack_effect(opcode, oparg)",Compute the stack effect of `opcode` with argument `oparg` .
"dict(mapping, **kwarg)","Create a new dictionary . With arguments `mapping`, `**kwarg`."
os.get_handle_inheritable(handle),Get the “ inheritable ” flag of the specified `handle` ( a boolean ) .
"ast.get_docstring(node, clean=True)","Return the docstring of the given `node` ( which must be a FunctionDef , AsyncFunctionDef , ClassDef , or Module node ) , or None if it has no docstring . If `clean` is true , clean up the docstring ’ s indentation with inspect.cleandoc ( ) ."
collections.OrderedDict(items),Return an instance of a dict subclass that has methods specialized for rearranging dictionary order . With arguments `items`.
"message.set_param(param, value, replace=False)","Set a parameter in the Content-Type `header` . If the parameter already exists in the header , its `value` will be replaced with value . If `replace` is False ( the default ) the header is moved to the end of the list of headers . With arguments `param`."
str(),Return a str version of `object` .
warnings.filterwarnings(action),Insert an entry into the list of warnings filter specifications . With arguments `action`.
"lzma.LZMACompressor(format=FORMAT_XZ, filters=None)","Create a compressor object , which can be used to compress data incrementally . The `format` argument specifies what container format should be used . The compression settings can be specified either as a `preset` compression level ( with the preset argument ) , or in detail as a custom filter chain ( with the `filters` argument ) ."
@dataclasses.dataclass(init=True),"This function is a decorator that is used to add generated special methods to classes , as described below . With arguments `init`."
date.__format__(format),Same as date.strftime ( ) . This makes it possible to specify a `format` string for a date object in formatted string literals and when using str.format ( ) .
signal.getitimer(which),Returns current value of a given interval timer specified by `which` .
"print(*objects, end='\n')","Print objects to the text stream `file` , separated by `sep` and followed by `end` . With arguments `*objects`."
"test_case.assertRaisesRegex(exception, regex)",Like assertRaises ( ) but also tests that `regex` matches on the string representation of the raised `exception` .
base64.b16decode(s),Decode the Base16 encoded bytes-like object or ASCII string `s` and return the decoded bytes .
array.tofile(f),Write all items ( as machine values ) to the file object `f` .
exit(),"Objects that when printed , print a message like “ Use quit ( ) or Ctrl-D ( i.e ."
FTP.connect(port=0),Connect to the given `host` and `port` .
stream_reader.readexactly(n),Read exactly `n` bytes .
"email.utils.formataddr(pair, charset='utf-8')","The inverse of parseaddr ( ) , this takes a 2-tuple of the form ( realname , email_address ) and returns the string value suitable for a To or Cc header . If the first element of `pair` is false , then the second element is returned unmodified . Optional `charset` is the character set that will be used in the RFC 2047 encoding of the realname if the realname contains non-ASCII characters ."
"SMTP.docmd(cmd, args='')","Send a command `cmd` to the server . The optional argument `args` is simply concatenated to the command , separated by a space ."
type(object),"With one argument , return the type of an `object` ."
"os.mknod(path, device=0)","Create a filesystem node ( file , `device` special file or named pipe ) named `path` ."
"email.contentmanager.set_content(msg, <'str'>, subtype=""plain"", charset='utf-8'                     cte=None)","Add `headers` and payload to `msg` : If `charset` is provided ( which is valid only for str ) , encode the string to bytes using the specified character set . With arguments `<'str'>`, `subtype`."
len(s),Return the length ( the number of items ) of an object . With arguments `s`.
help(),Invoke the built-in help system .
"http.client.HTTPConnection(host, blocksize=8192)",An HTTPConnection instance represents one transaction with an HTTP server . It should be instantiated passing it a `host` and optional `port` number . The optional `blocksize` parameter sets the buffer size in bytes for sending a file-like message body .
"itertools.product(*iterables, repeat=1)","Cartesian product of input iterables . To compute the product of an iterable with itself , specify the number of repetitions with the optional `repeat` keyword argument . With arguments `*iterables`."
"loop.getaddrinfo(host, port)","Asynchronous version of socket.getaddrinfo ( ) . With arguments `host`, `port`."
print(*objects),"Print objects to the text stream `file` , separated by `sep` and followed by `end` . With arguments `*objects`."
array.append(x),Append a new item with value `x` to the end of the array .
FTP.nlst(argument),Return a list of file names as returned by the NLST command . The optional `argument` is a directory to list ( default is the current server directory ) .
"cgitb.enable(display=1, context=5)",This function causes the cgitb module to take over the interpreter ’ s default handling for exceptions by setting the value of sys.excepthook . The optional argument `display` defaults to 1 and can be set to 0 to suppress sending the traceback to the browser . The optional argument `context` is the number of lines of context to display around the current line of source code in the traceback ; this defaults to 5 .
"decimal.Decimal(value=""0"")",Construct a new Decimal object based from `value` .
"cmath.isclose(a, b)",Return True if the values `a` and `b` are close to each other and False otherwise .
unittest.main(testLoader=unittest.defaultTestLoader),"A command-line program that loads a set of tests from `module` and runs them ; this is primarily for making test modules conveniently executable . The `testLoader` argument has to be a TestLoader instance , and defaults to defaultTestLoader ."
future.set_result(result),Mark the Future as done and set its `result` .
ensurepip.bootstrap(upgrade=False),Bootstraps pip into the current or designated environment . `upgrade` indicates whether or not to upgrade an existing installation of an earlier version of pip to the bundled version .
ast.get_docstring(node),"Return the docstring of the given `node` ( which must be a FunctionDef , AsyncFunctionDef , ClassDef , or Module node ) , or None if it has no docstring ."
"colorsys.yiq_to_rgb(y, i, q)","Convert the color from YIQ coordinates to RGB coordinates . With arguments `y`, `i`, `q`."
Match.__getitem__(g),This is identical to m.group ( `g` ) .
@unittest.skip(reason),Unconditionally skip the decorated test . `reason` should describe why the test is being skipped .
"doc_test_runner.report_start(out, test, example)",Report that the `test` runner is about to process the given `example` . `out` is the output function that was passed to DocTestRunner.run ( ) .
"window.touchline(start, count)","Pretend `count` lines have been `changed` , starting with line `start` ."
SyntaxError,Raised when the parser encounters a syntax error.
cmd.Cmd(stdin=None),A Cmd instance or subclass instance is a line-oriented interpreter framework . The optional arguments `stdin` and `stdout` specify the input and output file objects that the Cmd instance or subclass instance will use for input and output .
FTP.cwd(pathname),Set the current directory on the server . With arguments `pathname`.
"multiprocessing.Value(typecode_or_type, *args, lock=True)",Return a ctypes object allocated from shared memory . `typecode_or_type` determines the type of the returned object : it is either a ctypes type or a one character typecode of the kind used by the array module . `*args` is passed on to the constructor for the type . If `lock` is True ( the default ) then a new recursive lock object is created to synchronize access to the value .
"fcntl.fcntl(fd, cmd)",Perform the operation `cmd` on file descriptor `fd` ( file objects providing a fileno ( ) method are accepted as well ) .
"difflib.SequenceMatcher(a='', autojunk=True)",Optional argument `isjunk` must be None ( the default ) or `a` one-argument function that takes a sequence element and returns true if and only if the element is “ junk ” and should be ignored . The optional argument `autojunk` can be used to disable the automatic junk heuristic .
"multiprocessing.Value(typecode_or_type, *args, lock=True)",Return a ctypes object allocated from shared memory . `typecode_or_type` determines the type of the returned object : it is either a ctypes type or a one character typecode of the kind used by the array module . `*args` is passed on to the constructor for the type . If `lock` is True ( the default ) then a new recursive lock object is created to synchronize access to the value .
"bytes.translate(table, delete=b'')","Return a copy of the bytes or bytearray object where all bytes occurring in the optional argument `delete` are removed , and the remaining bytes have been mapped through the given translation `table` , which must be a bytes object of length 256 ."
os.register_at_fork(before=None),Register callables to be executed when a new child process is forked using os.fork ( ) or similar process cloning APIs . Functions registered for execution `before` forking are called in reverse registration order .
defaultdict.__missing__(key),"If the default_factory attribute is None , this raises a KeyError exception with the `key` as argument ."
ensurepip.bootstrap(user=False),Bootstraps pip into the current or designated environment . `user` indicates whether to use the user scheme rather than installing globally .
"subprocess.run(args, timeout=None)","Run the command described by `args` . ( `timeout` , `input` , `check` , and `capture_output` are not . )"
async_chat.set_terminator(term),"Sets the terminating condition to be recognized on the channel . `term` may be any of three types of value , corresponding to three different ways to handle incoming protocol data ."
zip(*iterables),Make an iterator that aggregates elements from each of the iterables . With arguments `*iterables`.
tuple(),"Rather than being a function , tuple is actually an immutable sequence type , as documented in Tuples and Sequence Types — list , tuple , range ."
"gzip.open(filename, newline=None)","Open a gzip-compressed file in binary or text `mode` , returning a file object . The `filename` argument can be an actual filename ( a str or bytes object ) , or an existing file object to read from or write to . In this case , the `encoding` , `errors` and `newline` arguments must not be provided ."
socket.shutdown(how),"Shut down one or both halves of the connection . If `how` is SHUT_RD , further receives are disallowed ."
"doctest.run_docstring_examples(f, globs, name=""NoName"")","Test examples associated with object `f` ; for example , f may be a string , a module , a function , or a class object . A shallow copy of dictionary argument `globs` is used for the execution context . Optional argument `name` is used in failure messages , and defaults to `` NoName '' ."
select.kevent(ident),( Only supported on BSD . ) With arguments `ident`.
"textwrap.wrap(text, **kwargs, width=70)",Wraps the single paragraph in `text` ( a string ) so every line is at most `width` characters long . With arguments `**kwargs`.
str(),Return a str version of `object` .
"msilib.add_data(database, table, records)",Add all `records` to the `table` named table in `database` .
"xml.etree.ElementInclude.default_loader(href, parse)",Default loader . `href` is a URL . `parse` is for parse mode either “ xml ” or “ text ” .
"unittest.TextTestRunner(stream=None, descriptions=True)",A basic test runner implementation that outputs results to a `stream` . With arguments `descriptions`.
"zipfile.ZipInfo(1, 1, 0, 0, 0))","Class used to represent information about a member of an archive . With arguments `1`, `1`, `0`, `0`, `0)`."
message.get_params(header='content-type'),"Return the message ’ s Content-Type parameters , as a list . Optional `failobj` is the object to return if there is no Content-Type `header` ."
"getattr(object, name)",Return the value of the named attribute of `object` . `name` must be a string .
"HTTPPasswordMgrWithPriorAuth.update_authenticated(self, uri, is_authenticated=False)",Update the `is_authenticated` flag for the given `uri` or list of URIs . With arguments `self`.
traceback.print_exc(chain=True),"This is a shorthand for print_exception ( *sys.exc_info ( ) , `limit` , `file` , `chain` ) ."
array._length_,A positive integer specifying the number of elements in the array.
"compileall.compile_dir(dir, force=False)","Recursively descend the directory tree named by `dir` , compiling all .py files along the way . If `force` is true , modules are re-compiled even if the timestamps are up to date ."
"curses.textpad.rectangle(win, uly, ulx, lry, lrx)","Draw a rectangle . With arguments `win`, `uly`, `ulx`, `lry`, `lrx`."
"os.chown(path, uid, gid)",Change the owner and group id of `path` to the numeric `uid` and `gid` .
curses.keyname(k),Return the name of the key numbered `k` as a bytes object .
"cmath.isclose(a, b)",Return True if the values `a` and `b` are close to each other and False otherwise .
ArgumentParser.exit(status=0),"This method terminates the program , exiting with the specified `status` and , if given , it prints a `message` before that ."
"xml.etree.ElementInclude.default_loader(href, parse)",Default loader . `href` is a URL . `parse` is for parse mode either “ xml ” or “ text ” .
"gzip.open(filename, compresslevel=9)","Open a gzip-compressed file in binary or text `mode` , returning a file object . The `filename` argument can be an actual filename ( a str or bytes object ) , or an existing file object to read from or write to . The `compresslevel` argument is an integer from 0 to 9 , as for the GzipFile constructor ."
logging.disable(level=CRITICAL),Provides an overriding `level` level for all loggers which takes precedence over the logger ’ s own level .
list.sort(key=None),"This method sorts the list in place , using only < comparisons between items . `key` specifies a function of one argument that is used to extract a comparison key from each list element ( for example , key=str.lower ) ."
"dataclasses.asdict(instance, dict_factory=dict)",Converts the dataclass `instance` to a dict ( by using the factory function `dict_factory` ) .
"logging.handlers.NTEventLogHandler(appname, logtype='Application')","Returns a new instance of the NTEventLogHandler class . The `appname` is used to define the application name as it appears in the event log . The `logtype` is one of 'Application ' , 'System ' or 'Security ' , and defaults to 'Application ' ."
"os.link(src, dst, src_dir_fd=None)","Create a hard link pointing to `src` named `dst` . This function can support specifying `src_dir_fd` and/or `dst_dir_fd` to supply paths relative to directory descriptors , and not following symlinks ."
fileinput.input(files=None),Create an instance of the FileInput class . With arguments `files`.
"base64.decode(input, output)",Decode the contents of the binary `input` file and write the resulting binary data to the `output` file .
str(object=b''),Return a str version of `object` .
"cgi.escape(s, quote=False)","Convert the characters ' & ' , ' < ' and ' > ' in string `s` to HTML-safe sequences . If the optional flag `quote` is true , the quotation mark character ( `` ) is also translated ; this helps for inclusion in an HTML attribute value delimited by double quotes , as in < a href= '' ... '' > ."
ContentHandler.characters(content),Receive notification of character data . `content` may be a string or bytes instance ; the expat reader module always produces strings .
"message.set_param(param, value, language='')","Set a parameter in the Content-Type `header` . If the parameter already exists in the header , its `value` will be replaced with value . Optional `language` specifies the RFC 2231 language , defaulting to the empty string . With arguments `param`."
fraction.from_float(flt),"This class method constructs a Fraction representing the exact value of `flt` , which must be a float ."
turtle.screensize(bg=None),"If no arguments are given , return current ( canvaswidth , canvasheight ) . With arguments `bg`."
"loop.sendfile(transport, file, offset=0)",Send a `file` over a `transport` . `offset` tells from where to start reading the file .
asyncore.loop(timeout),"Enter a polling loop that terminates after `count` passes or all open channels have been closed . The `timeout` argument sets the timeout parameter for the appropriate select ( ) or poll ( ) call , measured in seconds ; the default is 30 seconds ."
"code.InteractiveConsole(filename=""<console>"")",Closely emulate the behavior of the interactive Python interpreter . With arguments `filename`.
argparse.ArgumentParser(parents=),Create a new ArgumentParser object . With arguments `parents`.
"compileall.compile_dir(dir, rx=None)","Recursively descend the directory tree named by `dir` , compiling all .py files along the way . If `rx` is given , its search method is called on the complete path to each file considered for compilation , and if it returns a true value , the file is skipped ."
"email.utils.encode_rfc2231(s, language=None)","Encode the string `s` according to RFC 2231 . Optional `charset` and `language` , if given is the character set name and language name to use ."
"SummaryInformation.SetProperty(field, value)","Set a property through MsiSummaryInfoSetProperty ( ) . `field` can have the same values as in GetProperty ( ) , `value` is the new value of the property ."
"widget.add(child, **kw)","Adds a new tab to the notebook . With arguments `child`, `**kw`."
"bz2_decompressor.decompress(data, max_length=-1)","Decompress `data` ( a bytes-like object ) , returning uncompressed data as bytes . If `max_length` is nonnegative , returns at most max_length bytes of decompressed data ."
"turtle.register_shape(name, shape=None)",There are three different ways to call this function : Add a turtle `shape` to TurtleScreen ’ s shapelist . With arguments `name`.
"array.insert(i, x)",Insert a new item with value `x` in the array before position `i` .
IMAP4.error,Exception raised on any errors.
"@reprlib.recursive_repr(fillvalue=""..."")","Decorator for __repr__ ( ) methods to detect recursive calls within the same thread . If a recursive call is made , the `fillvalue` is returned , otherwise , the usual __repr__ ( ) call is made ."
message.attach(payload),"Add the given `payload` to the current payload , which must be None or a list of Message objects before the call ."
shlex.shlex(posix=False),"A shlex instance or subclass instance is a lexical analyzer object . The `posix` argument defines the operational mode : when posix is not true ( default ) , the shlex instance will operate in compatibility mode ."
"hmac.digest(key, msg, digest)",Return `digest` of `msg` for given secret `key` and digest .
turtle.forward(distance),"Move the turtle forward by the specified `distance` , in the direction the turtle is headed ."
"eval(expression, globals, locals)","The arguments are a string and optional `globals` and `locals` . The `expression` argument is parsed and evaluated as a Python expression ( technically speaking , a condition list ) using the globals and locals dictionaries as global and local namespace ."
"os.sendfile(out, in, offset, count, flags=0)","Copy `count` bytes from file descriptor `in` to file descriptor `out` starting at `offset` . Cross-platform applications should not use headers , trailers and `flags` arguments ."
os.WCOREDUMP(status),"Return True if a core dump was generated for the process , otherwise return False . With arguments `status`."
reversed(seq),Return a reverse iterator . `seq` must be an object which has a __reversed__ ( ) method or supports the sequence protocol ( the __len__ ( ) method and the __getitem__ ( ) method with integer arguments starting at 0 ) .
"zipapp.create_archive(source, target=None)",Create an application archive from `source` . The `target` argument determines where the resulting archive will be written :
socket_handler.send(packet),Send a pickled byte-string `packet` to the socket .
WriteTransport.set_write_buffer_limits(low=None),Set the `high` and `low` watermarks for write flow control .
context_var.reset(token),Reset the context variable to the value it had before the ContextVar.set ( ) that created the `token` was used .
ContentHandler.characters(content),Receive notification of character data . `content` may be a string or bytes instance ; the expat reader module always produces strings .
"audioop.getsample(fragment, width, index)",Return the value of sample `index` from the `fragment` . With arguments `width`.
sorted(iterable),Return a new sorted list from the items in `iterable` .
bytes(),"Return a new “ bytes ” object , which is an immutable sequence of integers in the range 0 < = x < 256. bytes is an immutable version of bytearray – it has the same non-mutating methods and the same indexing and slicing behavior ."
turtle.dot(*color),"Draw a circular dot with diameter `size` , using color . With arguments `*color`."
"element.find(match, namespaces=None)",Finds the first subelement matching `match` . `namespaces` is an optional mapping from namespace prefix to full name .
WindowsError,Only available on Windows.
textbox.edit(validator),"This is the entry point you will normally use . If `validator` is supplied , it must be a function ."
"connection.backup(target, name=""main"")","This method makes a backup of a SQLite database even while it ’ s being accessed by other clients , or concurrently by the same connection . The copy will be written into the mandatory argument `target` , that must be another Connection instance . The `name` argument specifies the database name that will be copied : it must be a string containing either `` main '' , the default , to indicate the main database , `` temp '' to indicate the temporary database or the name specified after the AS keyword in an ATTACH DATABASE statement for an attached database ."
"html_calendar.formatyearpage(theyear, css='calendar.css')",Return a year ’ s calendar as a complete HTML page . `css` is the name for the cascading style sheet to be used . With arguments `theyear`.
babyl_message.set_visible(visible),Set the message ’ s `visible` headers to be the same as the headers in message .
sys._clear_type_cache(),Clear the internal type cache .
multiprocessing.pool.Pool(processes),A process pool object which controls a pool of worker `processes` to which jobs can be submitted .
"turtle.write(arg, 8, ""normal""), move=False)","Write text - the string representation of `arg` - at the current turtle position according to `align` ( “ left ” , “ center ” or right ” ) and with the given `font` . If `move` is true , the pen is moved to the bottom-right corner of the text . With arguments `8`, `""normal"")`."
"copy.deepcopy(x, memo)",Return a deep copy of `x` . With arguments `memo`.
BaseCookie.output(header='Set-Cookie:'),Return a string representation suitable to be sent as HTTP headers . `attrs` and `header` are sent to each Morsel ’ s output ( ) method .
Morsel.update(values),Update the `values` in the Morsel dictionary with the values in the dictionary values .
datetime.__format__(format),Same as datetime.strftime ( ) . This makes it possible to specify a `format` string for a datetime object in formatted string literals and when using str.format ( ) .
cgitb.enable(display=1),This function causes the cgitb module to take over the interpreter ’ s default handling for exceptions by setting the value of sys.excepthook . The optional argument `display` defaults to 1 and can be set to 0 to suppress sending the traceback to the browser .
"bisect.bisect_left(a, x, lo=0)",Locate the insertion point for `x` in `a` to maintain sorted order . The parameters `lo` and `hi` may be used to specify a subset of the list which should be considered ; by default the entire list is used .
"email.utils.collapse_rfc2231_value(value, fallback_charset='us-ascii')","When a header parameter is encoded in RFC 2231 format , Message.get_param may return a 3-tuple containing the character set , language , and `value` . Optional `fallback_charset` specifies the character set to use if the one in the RFC 2231 header is not known by Python ; it defaults to 'us-ascii ' ."
"gzip.open(filename, mode='rb', compresslevel=9)","Open a gzip-compressed file in binary or text `mode` , returning a file object . The `filename` argument can be an actual filename ( a str or bytes object ) , or an existing file object to read from or write to . The `compresslevel` argument is an integer from 0 to 9 , as for the GzipFile constructor ."
var in context,Return True if the context has a value for var set; return False otherwise.
"gettext.ngettext(singular, plural, n)","Like gettext ( ) , but consider `plural` forms . If no translation is found , return `singular` if n is 1 ; return plural otherwise . If a translation is found , apply the plural formula to `n` , and return the resulting message ( some languages have more than two plural forms ) ."
int(),"Return an integer object constructed from a number or string `x` , or return 0 if no arguments are given ."
"io.BufferedRWPair(reader, writer)","A buffered I/O object combining two unidirectional RawIOBase objects – one readable , the other writeable – into a single bidirectional endpoint . `reader` and `writer` are RawIOBase objects that are readable and writeable respectively ."
"winreg.EnumKey(key, index)","Enumerates subkeys of an open registry `key` , returning a string . `index` is an integer that identifies the index of the key to retrieve ."
base_handler.run(app),"Run the specified WSGI application , `app` ."
test.support.strip_python_strerr(stderr),Strip the `stderr` of a Python process from potential debug output emitted by the interpreter .
"text_calendar.formatyear(theyear, w=2, l=1)","Return a m-column calendar for an entire year as a multi-line string . Optional parameters `w` , `l` , and `c` are for date column width , lines per week , and number of spaces between month columns , respectively . With arguments `theyear`."
dispatcher.connect(address),"As with the normal socket object , `address` is a tuple with the first element the host to connect to , and the second the port number ."
BaseHandler.default_open(req),"This method is not defined in BaseHandler , but subclasses should define it if they want to catch all URLs . With arguments `req`."
"webbrowser.open(url, new=0)","Display `url` using the default browser . If `new` is 0 , the url is opened in the same browser window if possible ."
"widget.set(item, value=None)","With one argument , returns a dictionary of column/value pairs for the specified `item` . With two arguments , returns the current `value` of the specified `column` ."
"winreg.CreateKeyEx(key, sub_key, reserved=0)","Creates or opens the specified `key` , returning a handle object . `sub_key` is a string that names the key this method opens or creates . `reserved` is a reserved integer , and must be zero ."
collections.ChainMap(*maps),"A ChainMap groups multiple dicts or other mappings together to create a single , updateable view . With arguments `*maps`."
"msilib.RadioButtonGroup(dlg, name, property)",Create a radio button control named `name` . `property` is the installer property that gets set when a radio button is selected . With arguments `dlg`.
print(*objects),"Print objects to the text stream `file` , separated by `sep` and followed by `end` . With arguments `*objects`."
"binascii.b2a_uu(data, backtick=False)","Convert binary `data` to a line of ASCII characters , the return value is the converted line , including a newline char . If `backtick` is true , zeros are represented by ' ` ' instead of spaces ."
"slice(start, stop, step)","Return a slice object representing the set of indices specified by range ( `start` , `stop` , `step` ) ."
"colorsys.yiq_to_rgb(y, i, q)","Convert the color from YIQ coordinates to RGB coordinates . With arguments `y`, `i`, `q`."
"bdb.effective(file, line, frame)","Determine if there is an effective ( active ) breakpoint at this `line` of code . With arguments `file`, `frame`."
queue.put(item),Put an `item` into the queue .
set(iterable),"Return a new set object , optionally with elements taken from `iterable` ."
"decimal.fma(other, third)","Fused multiply-add . With arguments `other`, `third`."
config_parser.read(filenames),"Attempt to read and parse an iterable of `filenames` , returning a list of filenames which were successfully parsed ."
eval(expression),"The arguments are a string and optional `globals` and `locals` . The `expression` argument is parsed and evaluated as a Python expression ( technically speaking , a condition list ) using the globals and locals dictionaries as global and local namespace ."
"difflib.context_diff(a, b, n=3)",Compare `a` and `b` ( lists of strings ) ; return a delta ( a generator generating the delta lines ) in context diff format . The number of context lines is set by `n` which defaults to three .
"filecmp.cmp(f1, f2)","Compare the files named `f1` and `f2` , returning True if they seem equal , False otherwise ."
open(file),Open `file` and return a corresponding file object .
decimal.quantize(exp),Return a value equal to the first operand after `rounding` and having the exponent of the second operand . With arguments `exp`.
"filecmp.cmp(f1, f2)","Compare the files named `f1` and `f2` , returning True if they seem equal , False otherwise ."
"isinstance(object, classinfo)","Return true if the `object` argument is an instance of the `classinfo` argument , or of a ( direct , indirect or virtual ) subclass thereof ."
"random.seed(a=None, version=2)","Initialize the random number generator . If `a` is omitted or None , the current system time is used . With `version` 2 ( the default ) , a str , bytes , or bytearray object gets converted to an int and all of its bits are used ."
"csv.reader(csvfile, **fmtparams)",Return a reader object which will iterate over lines in the given `csvfile` . With arguments `**fmtparams`.
"setattr(object, name, value)","This is the counterpart of getattr ( ) . The arguments are an `object` , a string and an arbitrary `value` . The string may `name` an existing attribute or a new attribute ."
"logging.handlers.NTEventLogHandler(appname, logtype='Application')","Returns a new instance of the NTEventLogHandler class . The `appname` is used to define the application name as it appears in the event log . The `logtype` is one of 'Application ' , 'System ' or 'Security ' , and defaults to 'Application ' ."
"logging.handlers.SysLogHandler(SYSLOG_UDP_PORT), address=('localhost')","Returns a new instance of the SysLogHandler class intended to communicate with a remote Unix machine whose `address` is given by address in the form of a ( host , port ) tuple . With arguments `SYSLOG_UDP_PORT)`."
"xmlparser.ElementDeclHandler(name, model)","Called once for each element type declaration . `name` is the name of the element type , and `model` is a representation of the content model ."
weakref.WeakSet(elements),Set class that keeps weak references to its `elements` .
lock.acquire(block=True),"Acquire a lock , blocking or non-blocking . With the `block` argument set to True ( the default ) , the method call will block until the lock is in an unlocked state , then set it to locked and return True ."
"xml.etree.ElementTree.SubElement(parent, tag, **extra)",Subelement factory . `parent` is the parent element . `tag` is the subelement name . With arguments `**extra`.
type(object),"With one argument , return the type of an `object` ."
message.get_params(header='content-type'),"Return the message ’ s Content-Type parameters , as a list . Optional `failobj` is the object to return if there is no Content-Type `header` ."
"IMAP4.store(message_set, command, flag_list)","Alters flag dispositions for messages in mailbox . `command` is specified by section 6.4.6 of RFC 2060 as being one of “ FLAGS ” , “ +FLAGS ” , or “ -FLAGS ” , optionally with a suffix of “ .SILENT ” . With arguments `message_set`, `flag_list`."
base64.b64decode(s),Decode the Base64 encoded bytes-like object or ASCII string `s` and return the decoded bytes .
"test_case.assertLogs(logger=None, level=None)","A context manager to test that at least one message is logged on the `logger` or one of its children , with at least the given `level` ."
"widget.insert(parent, index, **kw)","Creates a new item and returns the item identifier of the newly created item . `parent` is the item ID of the parent item , or the empty string to create a new top-level item . `index` is an integer , or the value “ end ” , specifying where in the list of parent ’ s children to insert the new item . With arguments `**kw`."
"bytes.translate(table, delete=b'')","Return a copy of the bytes or bytearray object where all bytes occurring in the optional argument `delete` are removed , and the remaining bytes have been mapped through the given translation `table` , which must be a bytes object of length 256 ."
msvcrt.putch(char),Print the byte string `char` to the console without buffering .
"doc_test_runner.report_start(out, test, example)",Report that the `test` runner is about to process the given `example` . `out` is the output function that was passed to DocTestRunner.run ( ) .
formatter.DumbWriter(maxcol=72),"Simple writer class which writes output on the `file` object passed in as file or , if file is omitted , on standard output . The output is simply word-wrapped to the number of columns specified by `maxcol` ."
ArgumentParser.add_mutually_exclusive_group(required=False),"Create a mutually exclusive group . The add_mutually_exclusive_group ( ) method also accepts a `required` argument , to indicate that at least one of the mutually exclusive arguments is required :"
"asyncio.create_subprocess_exec(program, *args, **kwds)","Create a subprocess . With arguments `program`, `*args`, `**kwds`."
"test_case.addCleanup(function, *args, **kwargs)","Add a `function` to be called after tearDown ( ) to cleanup resources used during the test . With arguments `*args`, `**kwargs`."
"test_case.assertAlmostEqual(first, second, delta=None)","Test that `first` and `second` are approximately ( or not approximately ) equal by computing the difference , rounding to the given number of decimal `places` ( default 7 ) , and comparing to zero . If `delta` is supplied instead of places then the difference between first and second must be less or equal to ( or greater than ) delta ."
time.__str__(),"For a time t , str ( t ) is equivalent to t.isoformat ( ) ."
all(iterable),Return True if all elements of the `iterable` are true ( or if the iterable is empty ) .
"text_calendar.formatyear(theyear, w=2, m=3)","Return a m-column calendar for an entire year as a multi-line string . Optional parameters `w` , `l` , and `c` are for date column width , lines per week , and number of spaces between month columns , respectively . With arguments `theyear`, `m`."
FTP.set_pasv(val),"Enable “ passive ” mode if `val` is true , otherwise disable passive mode ."
opcode,"numeric code for operation, corresponding to the opcode values listed below and the bytecode values in the Opcode collections."
ctypes._FuncPtr,Base class for C callable foreign functions.
"callable(result, func, arguments)","`result` is what the foreign function returns , as specified by the restype attribute . `func` is the foreign function object itself , this allows reusing the same callable object to check or post process the results of several functions . `arguments` is a tuple containing the parameters originally passed to the function call , this allows specializing the behavior on the arguments used ."
header.__str__(),"Returns an approximation of the Header as a string , using an unlimited line length ."
BaseProtocol.connection_made(transport),Called when a connection is made . The `transport` argument is the transport representing the connection .
xml.sax.saxutils.XMLGenerator(encoding='iso-8859-1'),This class implements the ContentHandler interface by writing SAX events back into an XML document . `encoding` is the encoding of the output stream which defaults to 'iso-8859-1 ' .
"config_parser.readfp(fp, filename=None)","For existing code calling readfp ( ) with arguments which don ’ t support iteration , the following generator may be used as a wrapper around the file-like object : Instead of parser.readfp ( `fp` ) use parser.read_file ( readline_generator ( fp ) ) . With arguments `filename`."
"decimal.Decimal(value=""0"")",Construct a new Decimal object based from `value` .
config_parser.read_dict(dictionary),"Load configuration from any object that provides a dict-like items ( ) method . If the used `dictionary` type preserves order , sections and their keys will be added in order ."
"sorted(iterable, key=None)","Return a new sorted list from the items in `iterable` . `key` specifies a function of one argument that is used to extract a comparison key from each element in iterable ( for example , key=str.lower ) ."
Database.OpenView(sql),"Return a view object , by calling MSIDatabaseOpenView ( ) . `sql` is the SQL statement to execute ."
"HTTPConnection.set_tunnel(host, headers=None)",Set the `host` and the `port` for HTTP Connect Tunnelling . The `headers` argument should be a mapping of extra HTTP headers to send with the CONNECT request .
