snippet,intent
"max(iterable, key)",Return the largest item in an `iterable` or the largest of two or more arguments . The `key` argument specifies a one-argument ordering function like that used for list.sort ( ) .
"FTP.mlsd(path="""")",List a directory in a standardized format by using MLSD command ( RFC 3659 ) . If `path` is omitted the current directory is assumed .
"time.clock_settime(clk_id, time: float)",Set the time of the specified clock `clk_id` . With arguments `time: float`.
"lzma.LZMACompressor(format=FORMAT_XZ, filters=None)","Create a compressor object , which can be used to compress data incrementally . The `format` argument specifies what container format should be used . The compression settings can be specified either as a `preset` compression level ( with the preset argument ) , or in detail as a custom filter chain ( with the `filters` argument ) ."
"window.addnstr(str, n)","Paint at most `n` characters of the character string `str` at ( y , x ) with attributes `attr` , overwriting anything previously on the display ."
"bdb.runctx(cmd, globals, locals)","For backwards compatibility . With arguments `cmd`, `globals`, `locals`."
"msilib.Feature(db, id, title, desc, display, level=1, parent=None)","Add a new record to the Feature table , using the values `id` , parent.id , `title` , `desc` , `display` , `level` , `directory` , and `attributes` . With arguments `db`, `parent`."
"wsgiref.handlers.BaseCGIHandler(stdin, stdout, stderr, environ)","Similar to CGIHandler , but instead of using the sys and os modules , the CGI environment and I/O streams are specified explicitly . With arguments `stdin`, `stdout`, `stderr`, `environ`."
"mmap.move(dest, src, count)",Copy the `count` bytes starting at offset `src` to the destination index `dest` .
SIG*,All the signal numbers are defined symbolically.
"bz2.open(filename, mode='r', newline=None)","Open a bzip2-compressed file in binary or text `mode` , returning a file object . As with the constructor for BZ2File , the `filename` argument can be an actual filename ( a str or bytes object ) , or an existing file object to read from or write to . In this case , the `encoding` , `errors` and `newline` arguments must not be provided ."
"bytes.maketrans(from, to)",This static method returns a translation table usable for bytes.translate ( ) that will map each character in `from` into the character at the same position in `to` ; from and to must both be bytes-like objects and have the same length .
"time.strptime(string, format)",Parse a `string` representing a time according to a `format` .
date_time.encode(out),Write the XML-RPC encoding of this DateTime item to the `out` stream object .
"config_parser.read_file(f, source=None)",Read and parse configuration data from `f` which must be an iterable yielding Unicode strings ( for example files opened in text mode ) . Optional argument `source` specifies the name of the file being read .
ordered_dict.move_to_end(key),Move an existing `key` to either end of an ordered dictionary .
multiprocessing.Condition(lock),A condition variable : an alias for threading.Condition . If `lock` is specified then it should be a Lock or RLock object from multiprocessing .
ordered_dict.popitem(last=True),"The popitem ( ) method for ordered dictionaries returns and removes a ( key , value ) pair . The pairs are returned in LIFO order if `last` is true or FIFO order if false ."
"message.set_param(param, value, header='Content-Type', replace=False)","Set a parameter in the Content-Type `header` . If the parameter already exists in the header , its `value` will be replaced with value . If `replace` is False ( the default ) the header is moved to the end of the list of headers . With arguments `param`."
datetime.__str__(),"For a datetime instance d , str ( d ) is equivalent to d.isoformat ( ' ' ) ."
"turtle.goto(x, y=None)","If `y` is None , `x` must be a pair of coordinates or a Vec2D ( e.g ."
ArgumentParser.add_argument(name or flags...),Define how a single command-line argument should be parsed . With arguments `name or flags...`.
"importlib.__import__(name, globals=None)","An implementation of the built-in __import__ ( ) function . With arguments `name`, `globals`."
datetime.timedelta(weeks=0),All arguments are optional and default to 0 . With arguments `weeks`.
ValueError,"Raised when an operation or function receives an argument that has the right type but an inappropriate value, and the situation is not described by a more precise exception such as IndexError."
element.append(subelement),Adds the element `subelement` to the end of this element ’ s internal list of subelements .
loop.remove_reader(fd),Stop monitoring the `fd` file descriptor for read availability .
"Node.toprettyxml(indent=""\t"")",Return a pretty-printed version of the document . `indent` specifies the indentation string and defaults to a tabulator ; `newl` specifies the string emitted at the end of each line and defaults to \n .
"Cmd.completedefault(text, line, begidx, endidx)","Method called to complete an input `line` when no command-specific complete_* ( ) method is available . With arguments `text`, `begidx`, `endidx`."
"colorsys.yiq_to_rgb(y, i, q)","Convert the color from YIQ coordinates to RGB coordinates . With arguments `y`, `i`, `q`."
"bz2_decompressor.decompress(data, max_length=-1)","Decompress `data` ( a bytes-like object ) , returning uncompressed data as bytes . If `max_length` is nonnegative , returns at most max_length bytes of decompressed data ."
importlib.__import__(name),An implementation of the built-in __import__ ( ) function . With arguments `name`.
InteractiveInterpreter.runcode(code),Execute a `code` object .
"urllib.parse.unquote(string, encoding='utf-8', errors='replace')","Replace % xx escapes by their single-character equivalent . `string` must be a str . The optional `encoding` and `errors` parameters specify how to decode percent-encoded sequences into Unicode characters , as accepted by the bytes.decode ( ) method ."
"compileall.compile_dir(dir, rx=None)","Recursively descend the directory tree named by `dir` , compiling all .py files along the way . If `rx` is given , its search method is called on the complete path to each file considered for compilation , and if it returns a true value , the file is skipped ."
message.get_payload(i=None),"Return the current payload , which will be a list of Message objects when is_multipart ( ) is True , or a string when is_multipart ( ) is False . With optional argument `i` , get_payload ( ) will return the i-th element of the payload , counting from zero , if is_multipart ( ) is True ."
ctypes.Array(*args),Abstract base class for arrays . With arguments `*args`.
sorted(iterable),Return a new sorted list from the items in `iterable` .
"subprocess.Popen(args, bufsize=-1)",Execute a child program in a new process . `args` should be a sequence of program arguments or else a single string . `bufsize` will be supplied as the corresponding argument to the open ( ) function when creating the stdin/stdout/stderr pipe file objects :
"random.gauss(mu, sigma)","Gaussian distribution . `mu` is the mean , and `sigma` is the standard deviation ."
"NNTP.xhdr(hdr, str, file=None)","Send an XHDR command . The `hdr` argument is a header keyword , e.g . The `str` argument should have the form 'first-last ' where first and last are the first and last article numbers to search . If the `file` parameter is supplied , then the output of the XHDR command is stored in a file ."
"turtle.dot(*color, size=None)","Draw a circular dot with diameter `size` , using color . With arguments `*color`."
"random.seed(a=None, version=2)","Initialize the random number generator . If `a` is omitted or None , the current system time is used . With `version` 2 ( the default ) , a str , bytes , or bytearray object gets converted to an int and all of its bits are used ."
str.expandtabs(tabsize=8),"Return a copy of the string where all tab characters are replaced by one or more spaces , depending on the current column and the given tab size . Tab positions occur every `tabsize` characters ( default is 8 , giving tab positions at columns 0 , 8 , 16 and so on ) ."
"dis.disassemble(code, lasti=-1)","Disassemble a `code` object , indicating the last instruction if `lasti` was provided ."
"fileinput.input(files=None, bufsize=0)","Create an instance of the FileInput class . With arguments `files`, `bufsize`."
"platform.mac_ver('', ''), machine='')","Get Mac OS version information and return it as tuple ( `release` , `versioninfo` , `machine` ) with versioninfo being a tuple ( version , dev_stage , non_release_version ) . With arguments `''`, `'')`."
"select.kevent(ident, data=0)","( Only supported on BSD . ) With arguments `ident`, `data`."
BaseTransport.get_extra_info(name),Return information about the transport or underlying resources it uses . `name` is a string representing the piece of transport-specific information to get .
"ctypes.byref(obj, offset)","Returns a light-weight pointer to `obj` , which must be an instance of a ctypes type . `offset` defaults to zero , and must be an integer that will be added to the internal pointer value ."
"array.insert(i, x)",Insert a new item with value `x` in the array before position `i` .
"sqlite3.connect(database, timeout, detect_types, isolation_level, check_same_thread, factory, cached_statements)","Opens a connection to the SQLite `database` file database . The `timeout` parameter specifies how long the connection should wait for the lock to go away until raising an exception . The `detect_types` parameter and the using custom converters registered with the module-level register_converter ( ) function allow you to easily do that . For the `isolation_level` parameter , please see the isolation_level property of Connection objects . By default , `check_same_thread` is True and only the creating thread may use the connection . By default returns a Connection object , unless a custom `factory` is given . If you want to explicitly set the number of statements that are cached for the connection , you can set the `cached_statements` parameter ."
"textwrap.wrap(text, **kwargs)",Wraps the single paragraph in `text` ( a string ) so every line is at most `width` characters long . With arguments `**kwargs`.
"msilib.Feature(db, id, title, desc, display, parent=None)","Add a new record to the Feature table , using the values `id` , parent.id , `title` , `desc` , `display` , `level` , `directory` , and `attributes` . With arguments `db`, `parent`."
"platform.java_ver('', ''), '', ''), release='')","Version interface for Jython . Returns a tuple ( `release` , `vendor` , `vminfo` , `osinfo` ) with vminfo being a tuple ( vm_name , vm_release , vm_vendor ) and osinfo being a tuple ( os_name , os_version , os_arch ) . With arguments `''`, `'')`, `''`, `'')`."
asyncio.open_connection(family=0),"Establish a network connection and return a pair of ( reader , writer ) objects . With arguments `family`."
"deque.index(x, start)",Return the position of `x` in the deque ( at or after index `start` and before index `stop` ) .
"hashlib.new(name, data)",Is a generic constructor that takes the string `name` of the desired algorithm as its first parameter . With arguments `data`.
"pickle.dump(obj, file)",Write the pickled representation of the object `obj` to the open `file` object file .
str.translate(table),Return a copy of the string in which each character has been mapped through the given translation `table` .
chr(i),Return the string representing a character whose Unicode code point is the integer `i` .
zipapp.get_interpreter(archive),Return the interpreter specified in the # ! line at the start of the `archive` .
key in d,"Return True if d has a key key, else False."
aifc.setframerate(rate),Specify the sampling frequency in frames per second . With arguments `rate`.
time.__str__(),"For a time t , str ( t ) is equivalent to t.isoformat ( ) ."
socket.shutdown(how),"Shut down one or both halves of the connection . If `how` is SHUT_RD , further receives are disallowed ."
"fcntl.fcntl(fd, cmd, arg=0)","Perform the operation `cmd` on file descriptor `fd` ( file objects providing a fileno ( ) method are accepted as well ) . The argument `arg` can either be an integer value , or a bytes object ."
"joinable_queue.send_bytes(buffer, offset, size)",Send byte data from a bytes-like object as a complete message . If `offset` is given then data is read from that position in `buffer` . If `size` is given then that many bytes will be read from buffer .
class.__bases__,The tuple of base classes of a class object.
unittest.FunctionTestCase(testFunc),"This class implements the portion of the TestCase interface which allows the test runner to drive the test , but does not provide the methods which test code can use to check and report errors . With arguments `testFunc`."
"ArgumentParser.add_argument(name or flags..., action, nargs, const, default, type, choices)","Define how a single command-line argument should be parsed . With arguments `name or flags...`, `action`, `nargs`, `const`, `default`, `type`, `choices`."
"calendar.calendar(year, l=1)",Returns a 3-column calendar for an entire `year` as a multi-line string using the formatyear ( ) of the TextCalendar class . With arguments `l`.
element.find(match),Finds the first subelement matching `match` .
asyncio.open_connection(ssl=None),"Establish a network connection and return a pair of ( reader , writer ) objects . With arguments `ssl`."
"termios.tcsendbreak(fd, duration)",Send a break on file descriptor `fd` . A zero `duration` sends a break for 0.25–0.5 seconds ; a nonzero duration has a system dependent meaning .
"TarFile.add(name, recursive=True)",Add the file `name` to the archive . This can be avoided by setting `recursive` to False .
element.find(match),Finds the first subelement matching `match` .
cgitb.text(info),"This function handles the exception described by `info` ( a 3-tuple containing the result of sys.exc_info ( ) ) , formatting its traceback as text and returning the result as a string ."
key not in d,Equivalent to not key in d.
TypeError,Raised when an operation or function is applied to an object of inappropriate type.
"ensurepip.bootstrap(root=None, user=False)",Bootstraps pip into the current or designated environment . `root` specifies an alternative root directory to install relative to . `user` indicates whether to use the user scheme rather than installing globally .
"list.sort(key=None, reverse=False)","This method sorts the list in place , using only < comparisons between items . `key` specifies a function of one argument that is used to extract a comparison key from each list element ( for example , key=str.lower ) . `reverse` is a boolean value ."
"tempfile.mktemp(prefix='tmp', dir=None)","Return an absolute pathname of a file that did not exist at the time the call is made . The `prefix` , `suffix` , and `dir` arguments are similar to those of mkstemp ( ) , except that bytes file names , suffix=None and prefix=None are not supported ."
sorted(iterable),Return a new sorted list from the items in `iterable` .
sys.set_coroutine_origin_tracking_depth(depth),"Allows enabling or disabling coroutine origin tracking . To enable , pass a `depth` value greater than zero ; this sets the number of frames whose information will be captured ."
"os.read(fd, n)",Read at most `n` bytes from file descriptor `fd` .
difflib.SequenceMatcher(a=''),Optional argument `isjunk` must be None ( the default ) or `a` one-argument function that takes a sequence element and returns true if and only if the element is “ junk ” and should be ignored .
"configparser.RawConfigParser(':'), ';'), interpolation)","Legacy variant of the ConfigParser . It has `interpolation` disabled by default and allows for non-string section names , option names , and values via its unsafe add_section and set methods , as well as the legacy defaults= keyword argument handling . With arguments `':')`, `';')`."
"subprocess.Popen(args, close_fds=True)","Execute a child program in a new process . `args` should be a sequence of program arguments or else a single string . If `close_fds` is true , all file descriptors except 0 , 1 and 2 will be closed before the child process is executed ."
"range(start, stop, step)","Rather than being a function , range is actually an immutable sequence type , as documented in Ranges and Sequence Types — list , tuple , range . With arguments `start`, `stop`, `step`."
crypt.crypt(word),`word` will usually be a user ’ s password as typed at a prompt or in a graphical interface .
array.append(x),Append a new item with value `x` to the end of the array .
"tixCommand.tix_getimage(self, name)","Locates an image file of the `name` name.xpm , name.xbm or name.ppm in one of the bitmap directories ( see the tix_addbitmapdir ( ) method above ) . With arguments `self`."
sum(iterable),Sums `start` and the items of an `iterable` from left to right and returns the total .
"uuid.uuid3(namespace, name)",Generate a UUID based on the MD5 hash of a `namespace` identifier ( which is a UUID ) and a `name` ( which is a string ) .
"output_checker.check_output(want, got, optionflags)",Return True iff the actual output from an example ( `got` ) matches the expected output ( `want` ) . With arguments `optionflags`.
"http.server.BaseHTTPRequestHandler(request, client_address, server)","This class is used to handle the HTTP requests that arrive at the `server` . By itself , it can not respond to any actual HTTP requests ; it must be subclassed to handle each `request` method ( e.g . With arguments `client_address`."
curses.meta(flag),"If `flag` is True , allow 8-bit characters to be input ."
cgitb.text(info),"This function handles the exception described by `info` ( a 3-tuple containing the result of sys.exc_info ( ) ) , formatting its traceback as text and returning the result as a string ."
enumerate(iterable),"Return an enumerate object . `iterable` must be a sequence , an iterator , or some other object which supports iteration ."
"compileall.compile_path(skip_curdir=True, maxlevels=0)","Byte-compile all the .py files found along sys.path . If `skip_curdir` is true ( the default ) , the current directory is not included in the search . Note that unlike the other compile functions , `maxlevels` defaults to 0 ."
HTMLParser.handle_endtag(tag),This method is called to handle the end `tag` of an element ( e.g .
parser.st2list(st),This function accepts an ST object from the caller in `st` and returns a Python list representing the equivalent parse tree .
"re.sub(pattern, repl, string)",Return the `string` obtained by replacing the leftmost non-overlapping occurrences of `pattern` in string by the replacement `repl` .
input(),"If the `prompt` argument is present , it is written to standard output without a trailing newline ."
"loop.getaddrinfo(host, port)","Asynchronous version of socket.getaddrinfo ( ) . With arguments `host`, `port`."
condition.wait_for(predicate),Wait until a `predicate` becomes true .
"subprocess.run(args, timeout=None)","Run the command described by `args` . ( `timeout` , `input` , `check` , and `capture_output` are not . )"
xmlrpc.client.MultiCall(server),Create an object used to boxcar method calls . `server` is the eventual target of the call .
logging.setLoggerClass(klass),Tells the logging system to use the class `klass` when instantiating a logger .
defaultdict.__missing__(key),"If the default_factory attribute is None , this raises a KeyError exception with the `key` as argument ."
os.setgroups(groups),Set the list of supplemental group ids associated with the current process to `groups` .
Warning,Base class for warning categories.
email.utils.decode_params(params),"Decode parameters list according to RFC 2231. `params` is a sequence of 2-tuples containing elements of the form ( content-type , string-value ) ."
"HTTPConnection.request(method, url, encode_chunked=False)",This will send a request to the server using the HTTP request `method` method and the selector `url` . The `encode_chunked` argument is only relevant if Transfer-Encoding is specified in headers .
email.headerregistry.Address(username=''),"The class used to represent an email address . As a convenience `addr_spec` can be specified instead of `username` and `domain` , in which case username and domain will be parsed from the addr_spec ."
webbrowser.get(using=None),Return a controller object for the browser type `using` .
str.expandtabs(tabsize=8),"Return a copy of the string where all tab characters are replaced by one or more spaces , depending on the current column and the given tab size . Tab positions occur every `tabsize` characters ( default is 8 , giving tab positions at columns 0 , 8 , 16 and so on ) ."
zip(*iterables),Make an iterator that aggregates elements from each of the iterables . With arguments `*iterables`.
"itertools.tee(iterable, n=2)",Return `n` independent iterators from a single `iterable` .
"random.choices(population, k=1)",Return a `k` sized list of elements chosen from the `population` with replacement .
time.ctime(secs),"Convert a time expressed in seconds since the epoch to a string representing local time . If `secs` is not provided or None , the current time as returned by time ( ) is used ."
test.support.check_warnings(*filters),A convenience wrapper for warnings.catch_warnings ( ) that makes it easier to test that a warning was correctly raised . With arguments `*filters`.
element.find(match),Finds the first subelement matching `match` .
"print(*objects, file=sys.stdout)","Print objects to the text stream `file` , separated by `sep` and followed by `end` . With arguments `*objects`."
stream_reader.read(size),Decodes data from the stream and returns the resulting object . The `size` argument indicates the approximate maximum number of encoded bytes or code points to read for decoding .
test.support.start_threads(threads),Context manager to start `threads` .
"ContentHandler.startElement(name, attrs)",Signals the start of an element in non-namespace mode . The `name` parameter contains the raw XML 1.0 name of the element type as a string and the `attrs` parameter holds an object of the Attributes interface ( see The Attributes Interface ) containing the attributes of the element .
date.strftime(format),"Return a string representing the date , controlled by an explicit `format` string ."
"logging.handlers.TimedRotatingFileHandler(filename, when='h', interval=1)",Returns a new instance of the TimedRotatingFileHandler class . On rotating it also sets the `filename` suffix . Rotating happens based on the product of `when` and `interval` .
ordered_dict.popitem(last=True),"The popitem ( ) method for ordered dictionaries returns and removes a ( key , value ) pair . The pairs are returned in LIFO order if `last` is true or FIFO order if false ."
set.add(elem),Add element `elem` to the set .
ImportError,Raised when the import statement has troubles trying to load a module.
profile.Profile(builtins=True),This class is normally only used if more precise control over profiling is needed than what the cProfile.run ( ) function provides . With arguments `builtins`.
"base_manager.register(typeid, callable, proxytype)",A classmethod which can be used for registering a type or `callable` with the manager class . `typeid` is a “ type identifier ” which is used to identify a particular type of shared object . `proxytype` is a subclass of BaseProxy which is used to create proxies for shared objects with this typeid .
"tree_builder.doctype(name, pubid, system)",Handles a doctype declaration . `name` is the doctype name . `pubid` is the public identifier . `system` is the system identifier .
pstats.Stats(*filenames or profile),This class constructor creates an instance of a “ statistics object ” from a filename ( or list of filenames ) or from a Profile instance . With arguments `*filenames or profile`.
window.scroll(lines=1),Scroll the screen or scrolling region upward by `lines` lines .
"warnings.filterwarnings(action, message='', category=Warning)","Insert an entry into the list of warnings filter specifications . This checks the types of the arguments , compiles the `message` and `module` regular expressions , and inserts them as a tuple in the list of warnings filters . With arguments `action`, `category`."
"dialog.line(name, x, y, width, height)","Add and return a Line control . With arguments `name`, `x`, `y`, `width`, `height`."
str.expandtabs(tabsize=8),"Return a copy of the string where all tab characters are replaced by one or more spaces , depending on the current column and the given tab size . Tab positions occur every `tabsize` characters ( default is 8 , giving tab positions at columns 0 , 8 , 16 and so on ) ."
"dataclasses.replace(instance, **changes)","Creates a new object of the same type of `instance` , replacing fields with values from changes . With arguments `**changes`."
"binascii.b2a_uu(data, backtick=False)","Convert binary `data` to a line of ASCII characters , the return value is the converted line , including a newline char . If `backtick` is true , zeros are represented by ' ` ' instead of spaces ."
"connection.backup(target, sleep=0.250)","This method makes a backup of a SQLite database even while it ’ s being accessed by other clients , or concurrently by the same connection . The copy will be written into the mandatory argument `target` , that must be another Connection instance . The `sleep` argument specifies the number of seconds to sleep by between successive attempts to backup remaining pages , can be specified either as an integer or a floating point value ."
d[key] = value,Set d[key] to value.
header.__str__(),"Returns an approximation of the Header as a string , using an unlimited line length ."
array.pop(i),Removes the item with the index `i` from the array and returns it .
"os.mknod(path, device=0)","Create a filesystem node ( file , `device` special file or named pipe ) named `path` ."
timeit.timeit(stmt='pass'),"Create a Timer instance with the given statement , `setup` code and `timer` function and run its timeit ( ) method with `number` executions . With arguments `stmt`."
range(stop),"Rather than being a function , range is actually an immutable sequence type , as documented in Ranges and Sequence Types — list , tuple , range . With arguments `stop`."
FTP.nlst(argument),Return a list of file names as returned by the NLST command . The optional `argument` is a directory to list ( default is the current server directory ) .
array.append(x),Append a new item with value `x` to the end of the array .
"os.chown(path, uid, gid)",Change the owner and group id of `path` to the numeric `uid` and `gid` .
"IMAP4.setacl(mailbox, who, what)","Set an ACL for `mailbox` . With arguments `who`, `what`."
list.sort(key=None),"This method sorts the list in place , using only < comparisons between items . `key` specifies a function of one argument that is used to extract a comparison key from each list element ( for example , key=str.lower ) ."
ctypes._FuncPtr,Base class for C callable foreign functions.
writer.new_font(font),Set the `font` style .
"heapq.nlargest(n, iterable)",Return a list with the `n` largest elements from the dataset defined by `iterable` .
int(x),"Return an integer object constructed from a number or string `x` , or return 0 if no arguments are given ."
"gzip.open(filename, compresslevel=9)","Open a gzip-compressed file in binary or text `mode` , returning a file object . The `filename` argument can be an actual filename ( a str or bytes object ) , or an existing file object to read from or write to . The `compresslevel` argument is an integer from 0 to 9 , as for the GzipFile constructor ."
"os.set_blocking(fd, blocking)",Set the `blocking` mode of the specified file descriptor . With arguments `fd`.
time.__str__(),"For a time t , str ( t ) is equivalent to t.isoformat ( ) ."
"bdb.dispatch_call(frame, arg)","If the debugger should stop on this function call , invoke the user_call ( ) method ( which should be overridden in subclasses ) . With arguments `frame`, `arg`."
"time.strftime(format, t)","Convert a tuple or struct_time representing a time as returned by gmtime ( ) or localtime ( ) to a string as specified by the `format` argument . If `t` is not provided , the current time as returned by localtime ( ) is used ."
"turtle.onclick(fun, btn=1, add=None)","Bind `fun` to mouse-click events on this turtle . With arguments `btn`, `add`."
"os.makedev(major, minor)",Compose a raw device number from the `major` and `minor` device numbers .
array._length_,A positive integer specifying the number of elements in the array.
"asyncio.create_subprocess_shell(cmd, **kwds, stdout=None)",Run the `cmd` shell command . The `limit` argument sets the buffer limit for StreamReader wrappers for Process.stdout and Process.stderr ( if subprocess.PIPE is passed to `stdout` and `stderr` arguments ) . With arguments `**kwds`.
xmlparser.SetBase(base),Sets the `base` to be used for resolving relative URIs in system identifiers in declarations .
cgi.print_form(form),Format a `form` in HTML .
group.__str__(),"The str value of a Group is formatted according to RFC 5322 , but with no Content Transfer Encoding of any non-ASCII characters ."
"xml.etree.ElementTree.XMLParser(html=0, encoding=None)","This class is the low-level building block of the module . The `html` argument was historically used for backwards compatibility and is now deprecated . If `encoding` 1 is given , the value overrides the encoding specified in the XML file ."
platform.architecture(bits=''),"Queries the given `executable` ( defaults to the Python interpreter binary ) for various architecture information . Returns a tuple ( `bits` , `linkage` ) which contain information about the bit architecture and the linkage format used for the executable ."
aifc.setpos(pos),Seek to the specified frame number . With arguments `pos`.
"ZipFile.open(name, pwd=None)",Access a member of the archive as a binary file-like object . `name` can be either the name of a file within the archive or a ZipInfo object . `pwd` is the password used to decrypt encrypted ZIP files .
urllib.parse.urlencode(query),"Convert a mapping object or a sequence of two-element tuples , which may contain str or bytes objects , to a percent-encoded ASCII text string . When a sequence of two-element tuples is used as the `query` argument , the first element of each tuple is a key and the second is a value ."
OSError(),"This exception is raised when a system function returns a system-related error , including I/O failures such as “ file not found ” or “ disk full ” ( not for illegal argument types or other incidental errors ) ."
sqlite3.Connection,A SQLite database connection has the following attributes and methods:
vars(object),"Return the __dict__ attribute for a module , class , instance , or any other `object` with a __dict__ attribute ."
curses.has_key(ch),"Take a key value `ch` , and return True if the current terminal type recognizes a key with that value ."
"urllib.error.ContentTooShortError(msg, content)",This exception is raised when the urlretrieve ( ) function detects that the amount of the downloaded data is less than the expected amount ( given by the Content-Length header ) . The `content` attribute stores the downloaded ( and supposedly truncated ) data . With arguments `msg`.
"ArgumentParser.add_argument(name or flags..., action, nargs, const, default, type, choices)","Define how a single command-line argument should be parsed . With arguments `name or flags...`, `action`, `nargs`, `const`, `default`, `type`, `choices`."
"HTTPConnection.request(method, url, body=None)","This will send a request to the server using the HTTP request `method` method and the selector `url` . If `body` is specified , the specified data is sent after the `headers` are finished ."
"warnings.filterwarnings(action, append=False)","Insert an entry into the list of warnings filter specifications . The entry is inserted at the front by default ; if `append` is true , it is inserted at the end . With arguments `action`."
"turtle.dot(*color, size=None)","Draw a circular dot with diameter `size` , using color . With arguments `*color`."
ref.__callback__,This read-only attribute returns the callback currently associated to the weakref.
"window.touchline(start, count)","Pretend `count` lines have been `changed` , starting with line `start` ."
"CookieJar.extract_cookies(response, request)","Extract cookies from HTTP `response` and store them in the CookieJar , where allowed by policy . The `request` object ( usually a urllib.request.Request instance ) must support the methods get_full_url ( ) , get_host ( ) , unverifiable ( ) , and origin_req_host attribute , as documented by urllib.request ."
asyncio.open_connection(sock=None),"Establish a network connection and return a pair of ( reader , writer ) objects . With arguments `sock`."
os.get_handle_inheritable(handle),Get the “ inheritable ” flag of the specified `handle` ( a boolean ) .
gzip.GzipFile(compresslevel=9),"Constructor for the GzipFile class , which simulates most of the methods of a file object , with the exception of the truncate ( ) method . The `compresslevel` argument is an integer from 0 to 9 controlling the level of compression ; 1 is fastest and produces the least compression , and 9 is slowest and produces the most compression ."
io.BufferedReader(raw),"A buffer providing higher-level access to a readable , sequential RawIOBase object . When reading data from this object , a larger amount of data may be requested from the underlying `raw` stream , and kept in an internal buffer ."
"setattr(object, name, value)","This is the counterpart of getattr ( ) . The arguments are an `object` , a string and an arbitrary `value` . The string may `name` an existing attribute or a new attribute ."
random.seed(version=2),"Initialize the random number generator . With `version` 2 ( the default ) , a str , bytes , or bytearray object gets converted to an int and all of its bits are used ."
True,The true value of the bool type.
"re.search(pattern, string, flags=0)","Scan through `string` looking for the first location where the regular expression `pattern` produces a match , and return a corresponding match object . With arguments `flags`."
logging.handlers.QueueHandler(queue),Returns a new instance of the QueueHandler class . The instance is initialized with the `queue` to send messages to .
"test_case.assertAlmostEqual(first, second, places=7, delta=None)","Test that `first` and `second` are approximately ( or not approximately ) equal by computing the difference , rounding to the given number of decimal `places` ( default 7 ) , and comparing to zero . If `delta` is supplied instead of places then the difference between first and second must be less or equal to ( or greater than ) delta ."
"executor.submit(fn, *args, **kwargs)","Schedules the callable , `fn` , to be executed as fn ( `*args` `**kwargs` ) and returns a Future object representing the execution of the callable ."
"http.client.HTTPConnection(host, blocksize=8192)",An HTTPConnection instance represents one transaction with an HTTP server . It should be instantiated passing it a `host` and optional `port` number . The optional `blocksize` parameter sets the buffer size in bytes for sending a file-like message body .
"traceback.print_exc(limit=None, chain=True)","This is a shorthand for print_exception ( *sys.exc_info ( ) , `limit` , `file` , `chain` ) ."
"msilib.Directory(database, cab, basedir, physical, logical, default)","Create a new directory in the Directory table . Files are added into the current component , and into the `cab` file . To create a directory , a base directory object needs to be specified ( can be None ) , the path to the `physical` directory , and a `logical` directory name . `default` specifies the DefaultDir slot in the directory table . With arguments `database`, `basedir`."
POP3.stat(),Get mailbox status .
arg,"numeric argument to operation (if any), otherwise None"
codecs.StreamWriter(stream),Constructor for a StreamWriter instance . All `stream` writers must provide this constructor interface .
profile.print_stats(sort=-1),Create a Stats object based on the current profile and print the results to stdout . With arguments `sort`.
importlib.resources.contents(package),Return an iterable over the named items within the `package` .
email.utils.formataddr(pair),"The inverse of parseaddr ( ) , this takes a 2-tuple of the form ( realname , email_address ) and returns the string value suitable for a To or Cc header . If the first element of `pair` is false , then the second element is returned unmodified ."
"doc_test_runner.run(test, clear_globs=True)","Run the examples in `test` ( a DocTest object ) , and display the results using the writer function `out` . If `clear_globs` is true ( the default ) , then this namespace will be cleared after the test runs , to help with garbage collection ."
"bytes.maketrans(from, to)",This static method returns a translation table usable for bytes.translate ( ) that will map each character in `from` into the character at the same position in `to` ; from and to must both be bytes-like objects and have the same length .
True,The true value of the bool type.
float(),Return a floating point number constructed from a number or string `x` .
"urllib.parse.unquote(string, errors='replace')","Replace % xx escapes by their single-character equivalent . `string` must be a str . The optional `encoding` and `errors` parameters specify how to decode percent-encoded sequences into Unicode characters , as accepted by the bytes.decode ( ) method ."
json_encoder.default(o),"Implement this method in a subclass such that it returns a serializable object for `o` , or calls the base implementation ( to raise a TypeError ) ."
"window.border(ls, rs, ts, bs)","Draw a border around the edges of the window . With arguments `ls`, `rs`, `ts`, `bs`."
"TarFile.extract(member, set_attrs=True)","Extract a `member` from the archive to the current working directory , using its full name . File attributes ( owner , mtime , mode ) are set unless `set_attrs` is false ."
"connection.backup(target, pages=0)","This method makes a backup of a SQLite database even while it ’ s being accessed by other clients , or concurrently by the same connection . The copy will be written into the mandatory argument `target` , that must be another Connection instance . By default , or when `pages` is either 0 or a negative integer , the entire database is copied in a single step ; otherwise the method performs a loop copying up to pages pages at a time ."
repr(object),Return a string containing a printable representation of an `object` .
True,The true value of the bool type.
"setattr(object, name, value)","This is the counterpart of getattr ( ) . The arguments are an `object` , a string and an arbitrary `value` . The string may `name` an existing attribute or a new attribute ."
header.__str__(),"Returns an approximation of the Header as a string , using an unlimited line length ."
